Sucursal,Factura,Cotizacion,Estatus,Requisicion,"Salidas Material","Orden de fabricacion","Fecha de Factura","Fecha de Cotizacion",Parcial1,Parcial2,Parcial3,Parcial4,Parcial5
"San Pablo",A427348,,"En ruta",,1,,"2023-09-19 03:20:41",,,,,,
"San Pablo",A427350,,Entregado,,1,,"2023-09-19 03:21:26",,,,,,
"San Pablo",A427351,,"En ruta",,1,,"2023-09-19 03:22:31",,,,,,
"La Noria",BB141773,BB141773,Entregado,N003216,1,,"2023-09-19 03:22:33","2023-09-19 05:54:00",17926,,,,
"San Pablo",A427353,,Entregado,,1,,"2023-09-19 03:23:26",,,,,,
"San Pablo",A427354,,"Pedido generado",,0,,"2023-09-19 03:24:44",,,,,,
"San Pablo",A427355,,"Pedido generado",,0,,"2023-09-19 03:25:35",,,,,,
"San Pablo",427357,,"Pedido generado",,0,,"2023-09-19 03:27:33",,,,,,
"San Pablo",A427358,A427358,"En ruta",,1,2088,"2023-09-19 03:30:11",,,,,,
"San Pablo",427360,,Entregado,,1,,"2023-09-19 03:35:16",,,,,,
"San Pablo",427363,,"En ruta",,1,,"2023-09-19 03:41:09",,,,,,
"San Pablo",125598,,"Pedido generado",,0,,"2023-09-19 03:45:29",,,,,,
"San Pablo",427366,,"Recibido por embarques",5621,0,,"2023-09-19 03:45:37","2023-09-21 08:14:46",N17744,,,,
"La Noria",BB141776,,"Pedido generado",,0,,"2023-09-19 03:55:24",,,,,,
"San Pablo",A427368,,Entregado,,1,2089,"2023-09-19 04:00:10",,,,,,
"La Noria",BB141778,,"Pedido generado",,0,,"2023-09-19 04:01:34",,,,,,
"San Pablo",427370,,"Pedido generado",,0,,"2023-09-19 04:04:32",,,,,,
"San Pablo",427371,,Entregado,,1,,"2023-09-19 04:08:46",,,,,,
"La Noria",141781,,Entregado,,1,,"2023-09-19 04:09:59",,,,,,
"San Pablo",125396,141865,Entregado,,1,,"2023-09-19 04:10:00",,"Evidencia de ticket",,,,
"La Noria",141780,,Entregado,,1,,"2023-09-19 04:12:51",,,,,,
"San Pablo",125747,A427485,Entregado,,1,,"2023-09-19 04:15:54",,,,,,
"La Noria",BB141782,,"Pedido generado",,0,,"2023-09-19 04:20:04",,,,,,
"San Pablo",A427374,,"En ruta",5620,0,2093,"2023-09-19 04:23:04","2023-09-21 06:47:07",N17743,,,,
"La Noria",BB141783,,Entregado,,0,,"2023-09-19 04:24:03",,,,,,
"San Pablo",A427376,,"Pedido generado",,0,,"2023-09-19 04:27:21",,,,,,
"La Noria",BB141784,,Entregado,,0,,"2023-09-19 04:30:23",,,,,,
"San Pablo",A427378,,Entregado,,1,2094,"2023-09-19 04:34:33",,,,,,
"San Pablo",A427379,,"En ruta",,1,,"2023-09-19 04:35:57",,,,,,
"San Pablo",A427380,,"En ruta",,1,,"2023-09-19 04:37:18",,,,,,
"San Pablo",125768,A427499,Entregado,,1,,"2023-09-19 04:45:31",,,,,,
"San Pablo",125760,A428191,Entregado,,1,2090,"2023-09-19 04:47:52",,,,,,
"San Pablo",A427381,A427381,"En ruta",,1,,"2023-09-19 04:48:29",,,,,,
"San Pablo",125769,A427480,Entregado,,1,,"2023-09-19 04:49:24",,,,,,
"San Pablo",A427382,,"En ruta",,1,,"2023-09-19 04:50:22",,,,,,
"La Noria",BB141789,BB141789,Entregado,,1,,"2023-09-19 04:51:20",,,,,,
"San Pablo",A427383,,"Pedido generado",,0,,"2023-09-19 04:53:31",,,,,,
"San Pablo",A427384,,"En ruta",,1,,"2023-09-19 04:55:43",,,,,,
"La Noria",141791,,"Pedido generado",N003215,0,,"2023-09-19 05:03:17","2023-09-19 05:22:52",17937,,,,
"San Pablo",427385,,Entregado,,1,,"2023-09-19 05:03:54",,,,,,
"San Pablo",427386,,"En ruta",,1,,"2023-09-19 05:08:21",,,,,,
"La Noria",141788,,"En ruta",,1,,"2023-09-19 05:09:10",,,,,,
"La Noria",141792,,Entregado,N003218,1,,"2023-09-19 05:11:25","2023-09-20 04:48:54",17930,,,,
"San Pablo",A427387,A427387,Entregado,,1,,"2023-09-19 05:18:47",,,,,,
"San Pablo",427388,A427388,"En ruta",,1,,"2023-09-19 05:23:35",,,,,,
"San Pablo",427389,A427389,"En ruta",,1,,"2023-09-19 05:23:50",,,,,,
"San Pablo",A427390,,"En ruta",,1,,"2023-09-19 05:25:14",,,,,,
"San Pablo",125785,A429006,Entregado,,1,,"2023-09-19 05:33:49",,,,,,
"San Pablo",427392,,"En ruta",,1,,"2023-09-19 05:35:46",,,,,,
"San Pablo",427393,A427393,Fabricado,,0,2095,"2023-09-19 05:36:55",,,,,,
"San Pablo",427394,A427394,"Pedido generado",,0,,"2023-09-19 05:37:08",,,,,,
"La Noria",BB141796,,Entregado,,1,1220,"2023-09-19 05:41:39",,,,,,
"San Pablo",427396,A427396,"En ruta",,1,,"2023-09-19 05:44:45",,,,,,
"San Pablo",427397,,"En ruta",,1,,"2023-09-19 05:47:19",,,,,,
"San Pablo",427398,,"Pedido generado",,0,,"2023-09-19 05:47:53",,,,,,
"La Noria",BB141787,,"Pedido generado",,0,,"2023-09-19 05:52:00",,,,,,
"San Pablo",427400,A427400,"Pedido generado",,0,,"2023-09-19 05:58:23",,,,,,
"San Pablo",427399,A427399,Entregado,,1,,"2023-09-19 05:58:42",,,,,,
"San Pablo",A427401,,Entregado,,1,,"2023-09-19 06:04:43",,,,,,
"La Noria",BB141798,BB141798,Devolución,,0,,"2023-09-19 06:05:18",,N3617,,,,
"San Pablo",A427402,,"Pedido generado",,0,,"2023-09-19 06:14:16",,,,,,
"San Pablo",A427402,,Entregado,,1,,"2023-09-19 06:15:37",,,,,,
"San Pablo",427404,,"En ruta",,1,,"2023-09-19 06:16:40",,,,,,
"San Pablo",427405,A427405,"En ruta",,2,2096,"2023-09-19 06:25:39",,,,,,
"San Pablo",427406,,"Pedido generado",,0,,"2023-09-19 06:33:58",,,,,,
"San Pablo",427407,,"En ruta",,1,,"2023-09-19 06:35:13",,,,,,
"La Noria",BB141800,BB141800,Entregado,,1,,"2023-09-19 06:38:00",,,,,,
"San Pablo",125730,17922,"En ruta",,1,,"2023-09-19 06:43:33",,,,,,
"San Pablo",125731,17923,"En ruta",,1,,"2023-09-19 06:43:51",,,,,,
"La Noria",BB140801,,"Pedido generado",,0,,"2023-09-19 06:45:33",,,,,,
"San Pablo",A427412,,"Pedido generado",5602,0,,"2023-09-19 06:48:25","2023-09-19 07:34:31",N17730,,,,
"San Pablo",17924,,"En ruta",,1,,"2023-09-19 06:51:59",,,,,,
"San Pablo",A427413,,"Pedido generado",,0,,"2023-09-19 06:55:08",,,,,,
"San Pablo",A427415,,"Pedido generado",,0,,"2023-09-19 06:57:20",,,,,,
"La Noria",BB141803,BB141803,Entregado,,1,,"2023-09-19 06:59:10",,,,,,
"San Pablo",A427414,A427414,Entregado,,1,,"2023-09-19 07:00:05",,,,,,
"San Pablo",A427417,,Entregado,,1,,"2023-09-19 07:04:39",,,,,,
"San Pablo",A427418,,"En ruta",,1,,"2023-09-19 07:06:12",,,,,,
"San Pablo",427411,A427411,"En ruta",,1,,"2023-09-19 07:10:56",,,,,,
"San Pablo",A427421,,"Pedido generado",,0,,"2023-09-19 07:12:43",,,,,,
"San Pablo",125825,427784,"Recibido por embarques",5621,0,,"2023-09-19 07:20:28","2023-09-21 08:15:50",N17744,,,,
"La Noria",BB141804,BB141804,Entregado,,1,,"2023-09-19 07:22:15",,,,,,
"San Pablo",A427427,,"En ruta",,1,,"2023-09-19 07:23:11",,,,,,
"San Pablo",A427429,A427429,"Pedido generado",,0,,"2023-09-19 07:28:32",,,,,,
"La Noria",BB141805,,Entregado,,1,,"2023-09-19 07:28:37",,,,,,
"La Noria",BB141806,,"Pedido generado",,0,,"2023-09-19 07:28:49",,,,,,
"San Pablo",427423,,Entregado,,0,,"2023-09-19 07:30:51",,"Evidencia de entrega del material",,,,
"San Pablo",427426,,Entregado,,0,,"2023-09-19 07:31:26",,"Evidencia de entrega del material",,,,
"San Pablo",A427430,A427430,Entregado,,1,,"2023-09-19 07:33:04",,,,,,
"San Pablo",427432,,"En ruta",,1,,"2023-09-19 07:37:42",,,,,,
"La Noria",BB141807,,"Pedido generado",,0,,"2023-09-19 07:42:37",,,,,,
"San Pablo",A427434,,"En ruta",,1,,"2023-09-19 07:46:49",,,,,,
"San Pablo",A427435,,"Pedido generado",,0,,"2023-09-19 07:48:04",,,,,,
"San Pablo",A427433,A427433,Devolución,5628,0,2097,"2023-09-19 07:48:21","2023-09-22 05:11:32","OF: 1230 NORIA HSS 6.10",N17753,,,
"San Pablo",A426548,A426548,"En ruta",,1,,"2023-09-19 07:49:11",,,,,,
"San Pablo",A427437,,"Pedido generado",5603,0,,"2023-09-19 07:55:56","2023-09-19 09:00:48",N17738,,,,
"San Pablo",427438,,"En ruta",,1,,"2023-09-19 08:06:53",,,,,,
"La Noria",BB141809,,"Pedido generado",,0,,"2023-09-19 08:09:39",,,,,,
"San Pablo",427439,,Entregado,,2,,"2023-09-19 08:14:18",,,,,,
"San Pablo",A427440,,"En ruta",,1,,"2023-09-19 08:19:06",,,,,,
"San Pablo",A427441,,"En ruta",,1,,"2023-09-19 08:19:24",,,,,,
"San Pablo",A427442,,"En ruta",,1,,"2023-09-19 08:19:38",,,,,,
"San Pablo",A427443,,"En ruta",,1,,"2023-09-19 08:19:51",,,,,,
"San Pablo",A427444,,"En ruta",,1,,"2023-09-19 08:20:03",,,,,,
"La Noria",BB141810,,Entregado,,1,,"2023-09-19 08:20:56",,,,,,
"La Noria",BB141811,,"Pedido generado",,0,,"2023-09-19 08:27:39",,,,,,
"San Pablo",A427445,,"Recibido por embarques",5624,0,,"2023-09-19 08:28:04","2023-09-22 03:24:03",N17747,,,,
"San Pablo",427447,A427447,"Pedido generado",,0,,"2023-09-19 08:49:43",,,,,,
"San Pablo",427448,,"Pedido generado",,0,,"2023-09-19 08:51:47",,,,,,
"San Pablo",A427449,,"En ruta",,1,,"2023-09-19 09:04:05",,,,,,
"San Pablo",427450,,"En ruta",,1,,"2023-09-19 09:05:58",,,,,,
"San Pablo",A427452,,"Pedido generado",,0,,"2023-09-19 09:07:32",,,,,,
"La Noria",BB141817,,Entregado,,1,,"2023-09-19 09:09:09",,,,,,
"La Noria",BB141818,,Entregado,,1,,"2023-09-19 09:10:57",,,,,,
"La Noria",BB141819,,"Pedido generado",,0,,"2023-09-19 09:11:08",,,,,,
"San Pablo",427453,,"Pedido generado",,0,,"2023-09-19 09:11:32",,,,,,
"San Pablo",427453,,"Pedido generado",,0,,"2023-09-19 09:12:08",,,,,,
"San Pablo",427453,,"Pedido generado",,0,,"2023-09-19 09:12:41",,,,,,
"San Pablo",427453,,"Pedido generado",,0,,"2023-09-19 09:13:01",,,,,,
"San Pablo",427453,,"Pedido generado",,0,,"2023-09-19 09:13:17",,,,,,
"San Pablo",427453,,Entregado,5638,0,1227,"2023-09-19 09:13:31","2023-09-25 07:06:00",N17766,"Foto a despiempo",,,
"La Noria",N60667,BB141867,Entregado,,1,,"2023-09-19 09:17:24",,,,,,
"San Pablo",A427454,A427454,Entregado,,1,,"2023-09-19 09:18:26",,,,,,
"La Noria",BB141820,,Entregado,,1,,"2023-09-19 09:28:46",,,,,,
"San Pablo",A427456,,"Recibido por embarques",,0,,"2023-09-19 09:42:55",,,,,,
"La Noria",BB141823,,Entregado,,1,,"2023-09-19 09:44:52",,,,,,
"La Noria",BB141822,,Entregado,,1,,"2023-09-19 09:44:56",,,,,,
"San Pablo",427457,,Entregado,,1,,"2023-09-19 09:50:17",,,,,,
"La Noria",BB141824,,Entregado,,1,,"2023-09-19 09:52:50",,,,,,
"San Pablo",A427458,,"Pedido generado",,0,,"2023-09-19 09:58:05",,,,,,
"La Noria",141825,,"Pedido generado",,0,,"2023-09-19 10:02:40",,,,,,
"La Noria",141821,,Entregado,,0,,"2023-09-19 10:03:24",,,,,,
"San Pablo",A427459,,"En ruta",,1,,"2023-09-19 10:09:07",,,,,,
"La Noria",60778,,"Recibido por embarques",,0,,"2023-09-19 10:09:36",,,,,,
"La Noria",BB141812,,"Pedido generado",,0,,"2023-09-19 10:11:32",,N3614,N3615,,,
"San Pablo",125896,427510,Entregado,,1,,"2023-09-19 10:13:54",,,,,,
"San Pablo",125895,427511,Entregado,,1,,"2023-09-19 10:14:06",,,,,,
"La Noria",BB141826,,"Pedido generado",,0,,"2023-09-19 10:16:47",,,,,,
"San Pablo",A427460,,"En ruta",,1,,"2023-09-19 10:21:51",,,,,,
"La Noria",N60718,BB141889,Entregado,,1,,"2023-09-19 10:24:33",,,,,,
"La Noria",N60721,BB141887,Entregado,,1,,"2023-09-19 10:24:49",,,,,,
"La Noria",N60723,BB141885,Entregado,,1,,"2023-09-19 10:25:05",,,,,,
"La Noria",N60724,BB141886,Entregado,,1,,"2023-09-19 10:25:24",,,,,,
"La Noria",N60725,BB141888,"En ruta",,1,,"2023-09-19 10:25:38",,,,,,
"La Noria",BB141827,BB141827,Entregado,,0,1226,"2023-09-19 10:28:17",,,,,,
"San Pablo",A427461,,Entregado,,1,,"2023-09-19 10:28:27",,,,,,
"La Noria",BB141828,,"Pedido generado",,0,,"2023-09-19 10:32:14",,,,,,
"La Noria",BB141830,,"Pedido generado",,0,,"2023-09-19 10:32:28",,,,,,
"San Pablo",A427462,,Entregado,,1,,"2023-09-19 10:34:42",,,,,,
"San Pablo",A427463,,"En ruta",,1,,"2023-09-19 10:35:20",,,,,,
"La Noria",BB141832,,Entregado,,1,,"2023-09-19 10:39:19",,,,,,
"San Pablo",A427464,,Entregado,,1,,"2023-09-19 10:54:42",,,,,,
"San Pablo",A427466,,Entregado,,1,,"2023-09-19 10:55:02",,,,,,
"San Pablo",125916,A427484,Entregado,,1,,"2023-09-19 10:56:08",,,,,,
"San Pablo",A427467,,Fabricado,,0,2100,"2023-09-19 10:56:17",,,,,,
"San Pablo",125869,427949,Entregado,,1,2101,"2023-09-19 10:56:27",,,,,,
"San Pablo",A427468,,"En ruta",,1,,"2023-09-19 10:59:29",,,,,,
"La Noria",BB141835,,Entregado,,1,,"2023-09-19 11:04:10",,,,,,
"La Noria",BB141836,,Entregado,,1,,"2023-09-19 11:04:22",,,,,,
"La Noria",BB141837,,Entregado,,1,,"2023-09-19 11:04:35",,,,,,
"San Pablo",427470,,"Pedido generado",,0,,"2023-09-19 11:04:51",,,,,,
"San Pablo",427469,,Entregado,,1,,"2023-09-19 11:07:17",,,,,,
"San Pablo",427471,,Entregado,,1,,"2023-09-19 11:07:42",,,,,,
"San Pablo",A427472,,"Pedido generado",,0,,"2023-09-19 11:10:09",,,,,,
"San Pablo",A427473,,"Pedido generado",,0,,"2023-09-19 11:13:01",,,,,,
"San Pablo",A427474,,"En ruta",,1,,"2023-09-19 11:21:22",,,,,,
"San Pablo",A427476,,Entregado,,1,,"2023-09-19 11:29:37",,,,,,
"San Pablo",A427475,A427475,"En ruta",,1,,"2023-09-19 11:29:57",,,,,,
"La Noria",BB141839,BB141839,Entregado,,1,,"2023-09-19 11:37:25",,,,,,
"San Pablo",427477,,Entregado,,0,,"2023-09-19 12:03:05",,,,,,
"San Pablo",427478,,"Pedido generado",,0,,"2023-09-20 02:07:20",,,,,,
"San Pablo",A427479,,"En ruta",,1,,"2023-09-20 02:09:00",,,,,,
"San Pablo",427481,,"En ruta",,1,,"2023-09-20 02:21:31",,,,,,
"San Pablo",427483,,Entregado,,1,,"2023-09-20 02:40:51",,,,,,
"La Noria",BB141844,,Entregado,,1,,"2023-09-20 02:50:00",,,,,,
"La Noria",BB141845,,Entregado,,1,,"2023-09-20 02:50:23",,,,,,
"La Noria",141847,,Entregado,,1,,"2023-09-20 03:00:00",,,,,,
"San Pablo",A427488,,"Pedido generado",,0,,"2023-09-20 03:02:56",,,,,,
"San Pablo",A427490,,"En ruta",,1,,"2023-09-20 03:04:18",,,,,,
"San Pablo",A427489,,"Pedido generado",,0,,"2023-09-20 03:04:21",,,,,,
"La Noria",BB141849,,Entregado,,1,,"2023-09-20 03:11:32",,,,,,
"San Pablo",A427492,,"En ruta",,1,,"2023-09-20 03:12:13",,,,,,
"La Noria",BB141850,,"Pedido generado",,0,,"2023-09-20 03:15:04",,,,,,
"San Pablo",A427493,,"En ruta",,1,,"2023-09-20 03:23:33",,,,,,
"La Noria",BB141853,,"Pedido generado",,0,,"2023-09-20 03:24:39",,,,,,
"San Pablo",A427495,,Entregado,5635,0,2105,"2023-09-20 03:32:55","2023-09-25 03:39:35",N17757,,,,
"San Pablo",A427496,,Fabricado,,0,2106,"2023-09-20 03:37:10",,,,,,
"San Pablo",A427497,,"En ruta",,1,,"2023-09-20 03:38:27",,,,,,
"San Pablo",A427498,,"Pedido generado",,0,,"2023-09-20 03:38:40",,,,,,
"La Noria",141855,,"Pedido generado",,0,,"2023-09-20 03:39:56",,,,,,
"La Noria",BB141856,,"Pedido generado",,0,,"2023-09-20 03:47:29",,,,,,
"La Noria",BB141840,,Entregado,,1,,"2023-09-20 03:48:50",,,,,,
"La Noria",BB141857,,Entregado,,1,,"2023-09-20 03:49:42",,,,,,
"San Pablo",A427500,,"Pedido generado",,0,,"2023-09-20 03:50:01",,,,,,
"San Pablo",427500,,Entregado,,0,,"2023-09-20 03:54:24",,SP2011,SP2014,,,
"La Noria",BB141858,,"Pedido generado",,0,,"2023-09-20 03:58:49",,,,,,
"San Pablo",427501,,Entregado,,1,,"2023-09-20 04:06:09",,,,,,
"La Noria",BB141859,BB141859,Entregado,,1,,"2023-09-20 04:09:21",,,,,,
"San Pablo",A427503,,Entregado,,0,,"2023-09-20 04:11:45",,,,,,
"La Noria",BB141860,BB141860,Entregado,,1,,"2023-09-20 04:12:30",,,,,,
"San Pablo",427502,,Entregado,5623,0,,"2023-09-20 04:12:42","2023-09-22 03:16:27",N17749,,,,
"San Pablo",427486,,"Pedido generado",,0,,"2023-09-20 04:13:58",,,,,,
"San Pablo",A427504,,"En ruta",,1,,"2023-09-20 04:18:34",,,,,,
"San Pablo",A427505,,"En ruta",,1,,"2023-09-20 04:19:18",,,,,,
"La Noria",BB141862,,"Pedido generado",,0,,"2023-09-20 04:19:33",,,,,,
"San Pablo",427506,,"Pedido generado",,0,,"2023-09-20 04:22:54",,,,,,
"San Pablo",427507,,"Pedido generado",,0,,"2023-09-20 04:25:45",,,,,,
"La Noria",BB141864,,Entregado,,1,,"2023-09-20 04:30:51",,,,,,
"La Noria",60825,142111,Entregado,,1,1228,"2023-09-20 04:32:10",,,,,,
"San Pablo",427508,,Entregado,,1,,"2023-09-20 04:48:23",,,,,,
"San Pablo",427509,,"Recibido por embarques",5621,0,,"2023-09-20 04:51:58","2023-09-21 08:15:18",N17744,,,,
"La Noria",BB141868,,Entregado,,0,,"2023-09-20 04:52:25",,N3618,N3627,,,
"San Pablo",427512,,"En ruta",,1,,"2023-09-20 04:58:01",,,,,,
"La Noria",BB141870,BB141870,Entregado,,1,,"2023-09-20 05:09:10",,,,,,
"San Pablo",A427513,,Entregado,5619,1,,"2023-09-20 05:11:49","2023-09-21 05:45:18",,,,,
"San Pablo",125993,427627,Entregado,,1,,"2023-09-20 05:12:48",,,,,,
"La Noria",BB141873,BB141873,Entregado,,1,,"2023-09-20 05:16:05",,,,,,
"San Pablo",427514,,Entregado,,0,,"2023-09-20 05:23:26",,,,,,
"San Pablo",A427516,A427516,"Pedido generado",,0,,"2023-09-20 05:28:45",,,,,,
"San Pablo",A427517,,"En ruta",,1,,"2023-09-20 05:30:11",,,,,,
"San Pablo",427519,A427519,"En ruta",,1,,"2023-09-20 05:41:26",,,,,,
"La Noria",BB141878,BB141878,Entregado,,1,,"2023-09-20 05:42:59",,,,,,
"San Pablo",427520,,Entregado,,1,,"2023-09-20 05:47:05",,,,,,
"La Noria",BB141881,,Entregado,,1,,"2023-09-20 05:50:05",,,,,,
"San Pablo",126016,A427905,Fabricado,,0,2107,"2023-09-20 05:50:21",,,,,,
"San Pablo",427522,,"Pedido generado",,0,,"2023-09-20 05:51:24",,,,,,
"La Noria",BB141883,,Entregado,,1,,"2023-09-20 05:55:10",,,,,,
"La Noria",BB141884,,"Pedido generado",,0,,"2023-09-20 05:55:23",,,,,,
"La Noria",BB141882,,"Pedido generado",,0,,"2023-09-20 05:55:39",,,,,,
"San Pablo",A427525,,"En ruta",,1,,"2023-09-20 06:02:03",,,,,,
"San Pablo",427515,,"En ruta",,1,2108,"2023-09-20 06:03:05",,,,,,
"San Pablo",A427524,A427524,"En ruta",,1,,"2023-09-20 06:04:03",,,,,,
"San Pablo",427523,,"Recibido por embarques",,0,,"2023-09-20 06:04:16",,,,,,
"San Pablo",427521,A427521,"En ruta",,1,,"2023-09-20 06:04:19",,,,,,
"San Pablo",A427527,A427527,Entregado,,1,,"2023-09-20 06:08:36",,,,,,
"San Pablo",427528,,Entregado,,1,,"2023-09-20 06:12:24",,,,,,
"San Pablo",427529,,"Pedido generado",,0,,"2023-09-20 06:17:40",,,,,,
"San Pablo",A427531,,Entregado,,1,,"2023-09-20 06:26:03",,,,,,
"San Pablo",A427530,A427530,"Pedido generado",,0,,"2023-09-20 06:26:19",,,,,,
"San Pablo",A427533,,"Pedido generado",,0,,"2023-09-20 06:34:32",,,,,,
"San Pablo",427532,,Entregado,,0,,"2023-09-20 06:35:31",,,,,,
"San Pablo",A427534,,"Pedido generado",,0,,"2023-09-20 06:35:55",,,,,,
"La Noria",60852,,"Recibido por embarques",,0,,"2023-09-20 06:36:38",,,,,,
"San Pablo",A427535,,"En ruta",,1,,"2023-09-20 06:38:49",,,,,,
"San Pablo",A427536,,"Pedido generado",,0,,"2023-09-20 06:39:02",,,,,,
"San Pablo",A427537,,"En ruta",,1,,"2023-09-20 06:39:11",,,,,,
"San Pablo",A427538,,"En ruta",,0,,"2023-09-20 06:41:28",,,,,,
"La Noria",BB141891,,Entregado,N003233,1,1231,"2023-09-20 06:43:41","2023-09-23 03:49:36",17944,,,,
"San Pablo",A427539,,"En ruta",,1,,"2023-09-20 06:44:18",,,,,,
"San Pablo",A427540,,"Pedido generado",,0,,"2023-09-20 06:48:59",,,,,,
"San Pablo",427541,,"En ruta",,1,,"2023-09-20 06:49:45",,,,,,
"San Pablo",A427543,,"En ruta",,1,,"2023-09-20 06:51:57",,,,,,
"La Noria",BB141893,,Entregado,,1,,"2023-09-20 06:57:05",,,,,,
"San Pablo",A427546,,Entregado,5752,0,1237,"2023-09-20 07:03:09","2023-10-10 03:35:34",N17873,,,,
"San Pablo",A427547,,"Pedido generado",,0,,"2023-09-20 07:03:58",,,,,,
"San Pablo",427544,,Entregado,,1,2109,"2023-09-20 07:04:19",,,,,,
"San Pablo",A427548,,"En ruta",,1,,"2023-09-20 07:05:46",,,,,,
"San Pablo",A427549,,"En ruta",,1,,"2023-09-20 07:06:50",,,,,,
"San Pablo","ARIEL MENDEZ FACTURA AMARILLA",,Entregado,,0,,"2023-09-20 07:31:44",,,,,,
"San Pablo",A427552,,"Pedido generado",5612,0,,"2023-09-20 07:32:45","2023-09-20 08:34:34",N17735,,,,
"San Pablo",A427554,,Entregado,,1,,"2023-09-20 07:35:21",,,,,,
"San Pablo",427553,,Entregado,,1,,"2023-09-20 07:37:03",,,,,,
"San Pablo",A427555,,"Pedido generado",5611,0,,"2023-09-20 07:38:25","2023-09-20 08:30:11",N17737,,,,
"San Pablo",125991,428067,Entregado,,1,2113,"2023-09-20 07:40:10",,,,,,
"La Noria",60862,,Fabricado,N003232,0,2104,"2023-09-20 07:40:15","2023-09-23 02:56:21",17944,,,,
"San Pablo",427556,,"En ruta",,1,,"2023-09-20 07:43:26",,,,,,
"La Noria",BB141897,,Entregado,,1,,"2023-09-20 07:45:45",,,,,,
"San Pablo",A427559,,"En ruta",,1,,"2023-09-20 07:53:28",,,,,,
"San Pablo",A427560,,"En ruta",,1,,"2023-09-20 07:54:25",,,,,,
"San Pablo",427561,,Entregado,,0,2110,"2023-09-20 07:59:14",,,,,,
"San Pablo",427562,,"Pedido generado",,0,,"2023-09-20 07:59:47",,,,,,
"La Noria",BB141871,,"Pedido generado",,0,,"2023-09-20 08:03:47",,,,,,
"La Noria",BB141903,,Entregado,,1,,"2023-09-20 08:03:58",,,,,,
"San Pablo",A427563,,"En ruta",,1,,"2023-09-20 08:06:40",,,,,,
"San Pablo",A427564,,Entregado,,1,2111,"2023-09-20 08:06:48",,,,,,
"San Pablo",A427566,,"En ruta",,1,,"2023-09-20 08:12:12",,,,,,
"San Pablo",427565,,Entregado,,0,,"2023-09-20 08:13:18",,,,,,
"San Pablo",A427567,,"Pedido generado",5610,0,,"2023-09-20 08:13:49","2023-09-20 08:27:04",N17738,,,,
"San Pablo",427568,,"En ruta",,1,,"2023-09-20 08:19:28",,,,,,
"San Pablo",427550,,"En ruta",,1,,"2023-09-20 08:25:45",,,,,,
"San Pablo",A427569,,"Pedido generado",,0,,"2023-09-20 08:25:46",,,,,,
"La Noria",141906,,Devolución,,1,,"2023-09-20 08:25:56",,,,,,
"San Pablo",A427570,,"Pedido generado",,0,,"2023-09-20 08:29:16",,,,,,
"San Pablo",427571,,Entregado,,1,,"2023-09-20 08:32:48",,,,,,
"San Pablo",427572,A427572,Entregado,,1,,"2023-09-20 08:33:26",,,,,,
"La Noria",140911,,Entregado,,1,1243,"2023-09-20 08:36:15",,,,,,
"La Noria",BB141907,,"Pedido generado",,0,,"2023-09-20 08:36:33",,,,,,
"La Noria",BB141908,,"Pedido generado",,0,,"2023-09-20 08:44:44",,,,,,
"La Noria",BB141898,BB141898,Entregado,,1,1234,"2023-09-20 08:44:47",,,,,,
"La Noria",BB141899,BB141899,Entregado,,1,1235,"2023-09-20 08:45:11",,,,,,
"San Pablo",A427573,,"Pedido generado",,0,,"2023-09-20 08:45:23",,,,,,
"La Noria",BB141900,BB141900,Entregado,,1,1236,"2023-09-20 08:45:35",,,,,,
"La Noria",BB141901,BB141901,Entregado,,1,1232,"2023-09-20 08:46:05",,,,,,
"La Noria",BB141902,BB141902,Entregado,,1,1233,"2023-09-20 08:46:52",,,,,,
"San Pablo",A427574,,Entregado,,1,2112,"2023-09-20 08:48:52",,,,,,
"San Pablo",141892,,Entregado,,0,,"2023-09-20 08:51:10",,,,,,
"San Pablo",A427575,,"En ruta",,1,,"2023-09-20 09:03:48",,,,,,
"San Pablo",A427576,,"En ruta",,1,,"2023-09-20 09:05:23",,,,,,
"La Noria",BB141912,,"Pedido generado",,0,,"2023-09-20 09:08:14",,,,,,
"San Pablo",A427577,,Entregado,5638,0,,"2023-09-20 09:13:44","2023-09-25 07:05:30",N17766,,,,
"San Pablo",A427578,,"Pedido generado",,0,,"2023-09-20 09:14:38",,,,,,
"La Noria",BB141914,,Entregado,,0,,"2023-09-20 09:17:21",,N3619,N3661,N3717,N3717,
"La Noria",BB141913,BB141913,Entregado,,1,,"2023-09-20 09:17:38",,,,,,
"San Pablo",125947,17928,"En ruta",,1,,"2023-09-20 09:18:17",,,,,,
"San Pablo",125948,17929,"En ruta",,1,,"2023-09-20 09:18:40",,,,,,
"San Pablo",427579,,"En ruta",,0,,"2023-09-20 09:18:55",,,,,,
"San Pablo",A427580,,"En ruta",,1,,"2023-09-20 09:21:09",,,,,,
"San Pablo",427583,,Entregado,,0,,"2023-09-20 09:23:24",,"Evidencia de entrega del material",,,,
"San Pablo",427584,,"Pedido generado",,0,,"2023-09-20 09:23:33",,,,,,
"San Pablo",427581,,Entregado,,0,,"2023-09-20 09:23:41",,"Evidencia de entrega del material",,,,
"San Pablo",427586,A427586,"En ruta",,1,,"2023-09-20 09:25:03",,,,,,
"San Pablo",427585,,Entregado,,1,,"2023-09-20 09:25:37",,,,,,
"San Pablo",A427587,A427587,Entregado,,1,,"2023-09-20 09:27:30",,,,,,
