Sucursal,Factura,Cotizacion,Estatus,Requisicion,"Salidas Material","Orden de fabricacion","Fecha de Factura","Fecha de Cotizacion",Parcial1,Parcial2,Parcial3,Parcial4,Parcial5
"San Pablo",425543,,Entregado,,0,,"2023-09-01 09:41:45",,"Evidencia de entrega del material",,,,
"San Pablo",425542,,Entregado,,0,,"2023-09-01 09:42:32",,"Evidencia de entrega del material",,,,
"San Pablo",123207,A425582,Entregado,,1,,"2023-09-01 09:43:22",,,,,,
"San Pablo",123209,A425584,Entregado,,1,,"2023-09-01 09:44:05",,,,,,
"San Pablo",425544,,Entregado,,1,,"2023-09-01 09:47:31",,,,,,
"San Pablo",123188,,"Pedido generado",,0,,"2023-09-01 09:56:12",,,,,,
"La Noria",BB140964,,Entregado,,1,,"2023-09-01 10:14:15",,,,,,
"San Pablo",123188,A425601,Entregado,,1,,"2023-09-01 10:20:31",,,,,,
"San Pablo",123079,A425653,Entregado,,1,,"2023-09-01 10:21:10",,,,,,
"San Pablo",424962,,"Pedido generado",,0,,"2023-09-01 10:43:37",,SP1966,SP1967,,,
"San Pablo",123100,425595,Entregado,,1,,"2023-09-01 10:44:53",,,,,,
"San Pablo",123107,426455,Entregado,,1,1914,"2023-09-01 10:45:36",,,,,,
"San Pablo",17858,,"En ruta",,1,,"2023-09-01 11:19:26",,,,,,
"La Noria",BB140967,BB140967,Entregado,,1,,"2023-09-01 11:21:36",,,,,,
"La Noria",BB140968,,"En ruta",N003152,2,,"2023-09-01 11:26:06","2023-09-04 03:17:48",N3548,17860,N3550,,
"La Noria",BB140969,,Entregado,,1,,"2023-09-01 11:26:20",,,,,,
"San Pablo",425552,,"Pedido generado",,0,,"2023-09-01 11:30:23",,,,,,
"La Noria",BB140970,,Entregado,,1,,"2023-09-01 11:32:03",,,,,,
"La Noria",BB140971,,Entregado,,1,,"2023-09-01 11:38:26",,,,,,
"La Noria",BB136717,,Entregado,,0,,"2023-09-01 11:39:47",,N3571,N3583,,,
"San Pablo",425553,,Entregado,,1,,"2023-09-01 11:40:17",,,,,,
"San Pablo",A425033,,Fabricado,,0,1917,"2023-09-01 11:40:57",,,,,,
"La Noria",N59609,,"Pedido generado",,0,,"2023-09-01 11:43:17",,,,,,
"San Pablo",425554,,Cancelado,,0,,"2023-09-01 11:48:18",,,,,,
"San Pablo",A425555,A425555,Entregado,,1,,"2023-09-01 11:48:35",,,,,,
"San Pablo",A425556,A425556,Entregado,,1,,"2023-09-01 11:48:51",,,,,,
"San Pablo",A425556,A425556,"Pedido generado",,0,,"2023-09-01 11:48:51",,,,,,
"San Pablo",123245,A425637,Entregado,,1,,"2023-09-01 11:55:41",,,,,,
"La Noria",N59609,,Fabricado,,0,1102,"2023-09-01 12:00:58",,,,,,
"San Pablo",A425560,,Entregado,,1,,"2023-09-02 02:10:24",,,,,,
"San Pablo",A425563,,Entregado,,1,,"2023-09-02 02:17:46",,,,,,
"La Noria",N59612,,"Pedido generado",,0,,"2023-09-02 02:25:46",,,,,,
"La Noria",N59612,,Fabricado,,0,1104,"2023-09-02 02:29:56",,,,,,
"San Pablo",123256,A427181,Entregado,,1,1915,"2023-09-02 02:40:16",,,,,,
"San Pablo",123254,A425965,Entregado,5505,1,,"2023-09-02 02:40:27","2023-09-06 04:49:24",N17630,,,,
"San Pablo",A425572,,Entregado,,1,1918,"2023-09-02 03:19:31",,,,,,
"San Pablo",A425573,,Entregado,,1,,"2023-09-02 03:21:31",,,,,,
"San Pablo",123274,A425966,Entregado,,1,,"2023-09-02 03:24:15",,,,,,
"La Noria",BB140977,BB140977,Entregado,,1,,"2023-09-02 03:29:23",,,,,,
"San Pablo",123019,A425909,Fabricado,,0,1106,"2023-09-02 03:29:43",,,,,,
"La Noria",BB140979,BB140979,Entregado,,1,,"2023-09-02 03:30:08",,,,,,
"San Pablo",A425576,,"En ruta",,2,1960,"2023-09-02 03:38:56",,,,,,
"San Pablo",425583,A425583,Entregado,,1,,"2023-09-02 03:52:16",,,,,,
"San Pablo",425581,A425581,Entregado,,1,,"2023-09-02 03:52:46",,,,,,
"La Noria",59619,,"Pedido generado",,0,,"2023-09-02 04:04:55",,N17603,,,,
"San Pablo",123265,,Fabricado,,0,1107,"2023-09-02 04:07:13",,,,,,
"San Pablo",425586,,Fabricado,,0,1920,"2023-09-02 04:08:42",,,,,,
"San Pablo",425587,,Fabricado,,0,1941,"2023-09-02 04:12:19",,,,,,
"San Pablo",425585,,Entregado,,0,,"2023-09-02 04:12:28",,"Evidencia de entrega del material",,,,
"San Pablo",BB140986,,Entregado,,1,,"2023-09-02 04:21:30",,,,,,
"La Noria",BB140988,,Entregado,,1,,"2023-09-02 04:21:54",,,,,,
"La Noria",BB140989,,Entregado,,1,,"2023-09-02 04:22:13",,,,,,
"La Noria",BB140983,,Entregado,,1,,"2023-09-02 04:29:47",,,,,,
"La Noria",140991,,Fabricado,N003205,0,1105,"2023-09-02 04:30:05","2023-09-15 04:57:29",N3568,N3602,17916,N3602,
"La Noria",BB140984,,Entregado,,1,,"2023-09-02 04:30:57",,,,,,
"San Pablo",A425590,,"Pedido generado",,0,,"2023-09-02 04:42:25",,,,,,
"San Pablo",A425592,,Entregado,,1,,"2023-09-02 04:44:10",,,,,,
"La Noria",N59611,,"Recibido por embarques",,0,,"2023-09-02 05:21:39",,N17611,,,,
"La Noria",BB140998,,"Pedido generado",,0,,"2023-09-02 05:29:03",,,,,,
"San Pablo",425579,,"En fabricación",,0,1919,"2023-09-02 05:39:00",,,,,,
"San Pablo",123017,A425636,Entregado,,1,,"2023-09-02 05:43:17",,,,,,
"San Pablo",425606,,Entregado,5515,1,,"2023-09-02 05:48:24","2023-09-07 07:27:01",N17639,,,,
"La Noria",BB14002,,"Pedido generado",,0,,"2023-09-02 05:50:40",,,,,,
"San Pablo",425609,,Entregado,,1,,"2023-09-02 05:54:47",,,,,,
"San Pablo",123293,A425808,Entregado,,1,,"2023-09-02 06:10:56",,,,,,
"San Pablo",A425612,,Entregado,,1,1923,"2023-09-02 06:23:23",,,,,,
"San Pablo",123103,,"Pedido generado",,0,,"2023-09-02 06:24:43",,,,,,
"San Pablo",123105,,"Pedido generado",,0,,"2023-09-02 06:24:59",,,,,,
"San Pablo",425615,A425615,Entregado,,1,1921,"2023-09-02 06:42:21",,,,,,
"San Pablo",A425617,,Entregado,,1,,"2023-09-02 06:57:41",,,,,,
"San Pablo",425618,A425618,Entregado,,1,,"2023-09-02 07:09:33",,,,,,
"San Pablo",A425619,,Entregado,,1,,"2023-09-02 07:12:14",,,,,,
"San Pablo",A25621,,"Pedido generado",,0,,"2023-09-02 07:15:00",,,,,,
"La Noria",BB140890,,Devolución,,0,,"2023-09-02 07:17:45",,,,,,
"La Noria",BB141007,,Entregado,,1,,"2023-09-02 07:19:09",,,,,,
"San Pablo",425598,,Entregado,,0,,"2023-09-02 07:37:19",,,,,,
"La Noria",140993,,"En ruta",N003178,1,1916,"2023-09-02 07:47:05","2023-09-07 06:23:44",17885,,,,
"La Noria",141011,,"En ruta",,1,,"2023-09-02 07:52:50",,,,,,
"La Noria",141012,,"En ruta",,1,,"2023-09-02 07:54:47",,,,,,
"San Pablo",123281,141161,Entregado,,1,1108,"2023-09-02 07:59:37",,"Evidencia de ticket",,,,
"La Noria",BB141013,,Entregado,,1,,"2023-09-04 02:31:10",,"Evidencia de ticket",,,,
"San Pablo",123321,425807,Entregado,,1,,"2023-09-04 03:13:53",,,,,,
"La Noria",BB141014,BB141014,"En ruta",,1,,"2023-09-04 03:21:14",,,,,,
"San Pablo",123336,A425787,Entregado,,1,,"2023-09-04 03:29:46",,,,,,
"San Pablo",425641,,Entregado,,1,,"2023-09-04 04:02:44",,,,,,
"La Noria",59548,,Fabricado,,0,1907,"2023-09-04 04:15:51",,,,,,
"San Pablo",A425648,,"Pedido generado",5489,0,,"2023-09-04 04:26:15","2023-09-04 04:41:04",N17609,,,,
"La Noria",123342,141307,Entregado,,1,1109,"2023-09-04 04:28:15",,,,,,
"La Noria",59508,,Fabricado,,0,1110,"2023-09-04 04:28:57",,,,,,
"San Pablo",123358,A426099,Entregado,,1,,"2023-09-04 04:31:45",,,,,,
"San Pablo",A425650,,"Pedido generado",,0,,"2023-09-04 04:33:48",,,,,,
"San Pablo",123345,425764,Entregado,,1,,"2023-09-04 04:46:47",,,,,,
"San Pablo",123350,425765,Entregado,,1,,"2023-09-04 04:47:04",,,,,,
"San Pablo",123347,425763,Entregado,,1,,"2023-09-04 04:47:32",,,,,,
"San Pablo",A425655,,Entregado,,0,,"2023-09-04 04:47:44",,,,,,
"La Noria",BB141017,BB141017,Entregado,,1,,"2023-09-04 04:59:26",,,,,,
"San Pablo",A425656,,Entregado,,1,1924,"2023-09-04 04:59:39",,,,,,
"La Noria",BB141022,BB141035,Entregado,N003154,1,,"2023-09-04 05:00:11","2023-09-04 05:08:16",17863,,,,
